CHR	FROM_BP	TO_BP	NAME	LENGTH
1	752721	121475791	chr1.from752721.to121475791	151.8050922
1	143199864	249222527	chr1.from143199864.to249222527	141.10304
2	11944	92191582	chr2.from11944.to92191582	120.75557961523
2	95342412	243041411	chr2.from95342412.to243041411	154.09953
3	72365	90485813	chr3.from72365.to90485813	110.4035522657
3	93529128	197848556	chr3.from93529128.to197848556	117.28320
4	71566	49606599	chr4.from71566.to49606599	69.19240892
4	52684820	190906015	chr4.from52684820.to190906015	150.598776
5	29523	46403633	chr5.from29523.to46403633	62.5398805879
5	49441779	180698413	chr5.from49441779.to180698413	146.414684
6	203397	58746673	chr6.from203397.to58746673	80.49059613
6	61934516	170907734	chr6.from61934516.to170907734	117.477624
7	41892	58013387	chr7.from41892.to58013387	82.704362585
7	61070337	159124173	chr7.from61070337.to159124173	107.853677
8	164984	43752221	chr8.from164984.to43752221	74.247279
8	46936447	146292681	chr8.from46936447.to146292681	103.900103
9	16967	47204896	chr9.from16967.to47204896	69.534677889
9	65507526	141101939	chr9.from65507526.to141101939	110.975586
10	93502	39074656	chr10.from93502.to39074656	65.9174993895
10	42423532	135440226	chr10.from42423532.to135440226	116.581228
11	193146	51562420	chr11.from193146.to51562420	66.762618
11	54710133	134945120	chr11.from54710133.to134945120	95.089898
12	190980	34827687	chr12.from190980.to34827687	54.58158445
12	37858073	133831319	chr12.from37858073.to133831319	120.380426
13	19020095	115103150	chr13.from19020095.to115103150	129.79028
14	19264875	107287663	chr14.from19264875.to107287663	116.76934
15	20044342	102397317	chr15.from20044342.to102397317	150.8365301834
16	85629	35257261	chr16.from85629.to35257261	56.27561451468
16	46501717	90170095	chr16.from46501717.to90170095	74.85663
17	6157	22217629	chr17.from6157.to22217629	47.974392
17	25278811	81103682	chr17.from25278811.to81103682	80.558357
18	11358	15318075	chr18.from11358.to15318075	41.39282944786
18	18546896	78015180	chr18.from18546896.to78015180	78.666187
19	110783	24545657	chr19.from110783.to24545657	49.231505105
19	27742769	59097933	chr19.from27742769.to59097933	57.657932
20	63231	26246166	chr20.from63231.to26246166	51.7477163947
20	29471031	62915231	chr20.from29471031.to62915231	58.36502
21	14595742	48099610	chr21.from14595742.to48099610	63.77720913
22	16057417	51193629	chr22.from16057417.to51193629	75.051762268
